Metric,Average,Min,Max,Description
SSIM_IR,0.6071,0.2038,0.8184,与红外图像的结构相似性
SSIM_VI,0.7314,0.5554,0.8287,与可见光图像的结构相似性
SSIM_AVG,0.6693,0.4966,0.8158,平均结构相似性
PSNR_IR,18.3972,9.2223,27.8505,与红外图像的峰值信噪比(dB)
PSNR_VI,18.2501,10.6250,29.2676,与可见光图像的峰值信噪比(dB)
PSNR_AVG,18.3236,10.7041,26.9374,平均峰值信噪比(dB)
EN,5.9440,3.4438,7.3702,熵(信息量)
SF,10.1449,2.7676,25.6977,空间频率(细节丰富度)
AG,32.7627,10.4942,104.8125,平均梯度(清晰度)
SD,31.9580,7.5726,69.9172,标准差(对比度)
EI,32.7342,10.4765,104.7475,边缘强度
MI_IR,0.7317,0.1701,2.3470,与红外图像的互信息
MI_VI,1.5839,0.3301,2.9911,与可见光图像的互信息
MI_AVG,1.1578,0.6866,1.9056,平均互信息
Qabf,0.9556,0.7313,1.0000,融合质量指标




